銘柄コード,企業名,価格,利回り(%),年間配当,セクター,配当内訳
140A,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,1988,0,0,N/A,No Div
1414,ショーボンドホールディングス,1411,323,48.375,Industrials,"2025-06-27:27.875, 2025-12-29:20.5"
1418,インターライフホールディングス,506,587,25,Industrials,"2025-08-28:10.0, 2026-02-26:15.0"
1417,ミライト・ワン,3701,242,80,Industrials,"2025-03-28:40.0, 2025-09-29:40.0"
141A,トライアルホールディングス,4110,38,16,Consumer Defensive,2025-06-27:16.0
1419,タマホーム,4020,491,195,Consumer Cyclical,2025-05-29:195.0
142A,ジンジブ,677,0,0,Industrials,No Div
1429,日本アクア,702,487,35,Industrials,2025-12-29:35.0
1430,ファーストコーポレーション,1033,424,42,Consumer Cyclical,2025-05-29:42.0
1420,サンヨーホームズ,709,351,25,Consumer Cyclical,2025-03-28:25.0
1431,Ｌｉｂ　Ｗｏｒｋ,652,98,6.4,Real Estate,"2025-03-28:1.6, 2025-06-27:1.6, 2025-09-29:1.6, 2025-12-29:1.6"
1432,動力,174,0,0,N/A,No Div
1434,ＪＥＳＣＯホールディングス,1855,249,40,Industrials,2025-08-28:40.0
1433,ベステラ,1186,419,40,Industrials,"2025-07-30:15.0, 2026-01-29:25.0"
1435,ｒｏｂｏｔ　ｈｏｍｅ,186,106,2,Real Estate,"2025-06-27:1.0, 2025-12-29:1.0"
1438,岐阜造園,1838,215,36,Industrials,"2025-03-28:18.0, 2025-09-29:18.0"
143A,イシン,767,0,0,Communication Services,No Div
1436,グリーンエナジー＆カンパニー,3775,36,13,Industrials,2025-04-28:13.0
1443,技研ホールディングス,296,35,1.1,Industrials,2025-03-28:1.1
1445,ひかりホールディングス,2900,0,0,N/A,No Div
1444,ニッソウ,2564,0,0,Consumer Cyclical,No Div
1447,ＳＡＡＦホールディングス,425,0,6,Technology,2025-03-28:6.0
1446,キャンディル,579,174,8,Industrials,2025-09-29:8.0
144A,エネルギーパワー,450,0,0,N/A,No Div
1450,ＴＡＮＡＫＥＮ,1588,346,55,Industrials,2025-03-28:55.0
1452,横浜ライト工業,18530,0,0,N/A,No Div
1456,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,1636,0,0,N/A,No Div
1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,56310,0,0,N/A,No Div
1457,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,2031,0,0,N/A,No Div
1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,197,0,0,N/A,No Div
145A,Ｌ　ｉｓ　Ｂ,803,0,0,Technology,No Div
1466,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,266,0,0,N/A,No Div
1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,252.7,0,0,N/A,No Div
146A,コロンビア・ワークス,3940,225,78,Real Estate,2025-12-29:78.0
1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,105,0,0,N/A,No Div
1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,33160,166,598,N/A,"2025-07-08:307.0, 2026-01-08:291.0"
1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,1985,424,88,N/A,"2025-05-09:20.0, 2025-08-08:21.0, 2025-11-07:23.0, 2026-02-09:24.0"
1473,Ｏｎｅ　ＥＴＦ　トピックス,3707,169,67.6,N/A,"2025-07-08:35.3, 2026-01-08:32.3"
1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,373.5,181,7.3,N/A,"2025-08-08:3.9, 2026-02-09:3.4"
1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,3120,205,68,N/A,"2025-08-08:32.0, 2026-02-09:36.0"
1479,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,47180,149,762,N/A,"2025-07-10:382.0, 2026-01-09:380.0"
1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,4970,209,110,N/A,"2025-08-08:52.0, 2026-02-09:58.0"
147A,ソラコム,943,0,0,Technology,No Div
1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,35340,156,594,N/A,"2025-04-18:287.0, 2025-10-20:307.0"
