ticker,name,sector
1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,N/A
1486,上場インデックスファンド米国債券（為替ヘッジなし）,N/A
1487,上場インデックスファンド米国債券（為替ヘッジあり）,N/A
1488,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,N/A
1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,N/A
148A,ハッチ・ワーク,資本財
1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,N/A
1491,中外鉱業,素材
1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,N/A
1494,Ｏｎｅ　ＥＴＦ　高配当日本株,N/A
1495,上場インデックスファンドアジアリート,N/A
1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,N/A
1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,N/A
149A,シンカ,情報技術
1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,N/A
1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,N/A
150A,ＪＳＨ,資本財
1514,住石ホールディングス,エネルギー
1515,日鉄鉱業,素材
1518,三井松島ホールディングス,エネルギー
151A,ダイブ,資本財
152A,オプティ,N/A
153A,カウリス,情報技術
1540,純金上場信託（現物国内保管型）,N/A
1542,純銀上場信託（現物国内保管型）,N/A
1543,純パラジウム上場信託（現物国内保管型）,N/A
1541,純プラチナ上場信託（現物国内保管型）,N/A
1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,N/A
1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,N/A
154A,ＧＡＩＡ,N/A
1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,N/A
1551,東証スタンダードＴＯＰ２０ＥＴＦ,N/A
1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,N/A
1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,N/A
1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,N/A
155A,情報戦略テクノロジー,情報技術
1557,Ｓｔａｔｅ　Ｓｔｒｅｅｔ　ＳＰＤＲ　Ｓ＆Ｐ　５００　ＥＴＦ,N/A
1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,N/A
1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,N/A
1566,上場インデックスファンド新興国債券,N/A
1563,東証グロース・コアＥＴＦ,N/A
1568,ＴＯＰＩＸブル２倍上場投信,N/A
1569,ＴＯＰＩＸベア上場投信,N/A
156A,マテリアルグループ,コミュニケーション・サービス
1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,N/A
1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,N/A
1573,中国Ｈ株ベア上場投信,N/A
1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,N/A
1578,上場インデックスファンド日経２２５（ミニ）,N/A
1572,中国Ｈ株ブル２倍上場投信,N/A
1585,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,N/A
157A,グリーンモンスター,情報技術
1579,日経平均ブル２倍上場投信,N/A
1580,日経平均ベア上場投信,N/A
158A,エクセリ,N/A
1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,N/A
1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,N/A
1592,上場インデックスファンドＪＰＸ日経インデックス４００,N/A
1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,N/A
1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,N/A
1597,ＭＡＸＩＳ　Ｊリート上場投信,N/A
1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,N/A
160A,アズパートナーズ,資本財
159A,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,N/A
1605,ＩＮＰＥＸ,エネルギー
1599,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,N/A
1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,N/A
1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,N/A
1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,N/A
1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,N/A
161A,三葉,N/A
1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,N/A
1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,N/A
1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,N/A
1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,N/A
1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,N/A
1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,N/A
1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,N/A
1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,N/A
162A,ＡＩセレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,N/A
1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,N/A
1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,N/A
1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,N/A
1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,N/A
1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,N/A
1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,N/A
163A,半導体フォーカス　日本株（ネットリターン）ＥＴＮ,N/A
164A,アップルパーク,N/A
1651,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,N/A
1652,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,N/A
1653,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,N/A
1654,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　ＪＰＸ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,N/A
1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,N/A
1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,N/A
1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,N/A
1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,N/A
1659,ｉシェアーズ　米国リート　ＥＴＦ,N/A
1660,ＭＡＸＩＳ高利回りＪリート上場投信,N/A
1662,石油資源開発,エネルギー
1663,Ｋ＆Ｏエナジーグループ,公益事業
166A,タスキホールディングス,情報技術
1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,N/A
1671,ＷＴＩ原油価格連動型上場投信,N/A
1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,N/A
1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,N/A
1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,N/A
1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,N/A
1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,N/A
1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,N/A
1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,N/A
1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,N/A
167A,リョーサン菱洋ホールディングス,情報技術
1681,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,N/A
1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,N/A
1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,N/A
1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,N/A
1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,N/A
1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,N/A
1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,N/A
168A,イタミアート,コミュニケーション・サービス
1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,N/A
1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,N/A
1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,N/A
1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,N/A
1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,N/A
1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,N/A
1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,N/A
1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,N/A
1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,N/A
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,N/A
170A,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,N/A
1716,第一カッター興業,資本財
1711,ＳＤＳホールディングス,公益事業
1718,美樹工業,資本財
1717,明豊ファシリティワークス,資本財
171A,ゼロジャパン,資本財
1719,安藤・間,資本財
1720,東急建設,資本財
1721,コムシスホールディングス,資本財
1723,日本電技,情報技術
1724,シンクレイヤ,情報技術
1726,ビーアールホールディングス,資本財
172A,ネオホーム,N/A
173A,ハンモック,情報技術
1758,太洋基礎工業,資本財
1736,オーテック,資本財
175A,Ｗｉｌｌ　Ｓｍａｒｔ,情報技術
1764,工藤建設,資本財
1766,東建コーポレーション,不動産
1762,高松コンストラクショングループ,資本財
1768,ソネック,資本財
1773,ワイ・ティー・エル・コーポレーション・バーハッド,公益事業
1770,藤田エンジニアリング,資本財
1776,三井住建道路,資本財
177A,コージンバイオ,ヘルスケア
1780,ヤマウラ,資本財
1786,オリエンタル白石,資本財
1783,ｆａｎｔａｓｉｓｔａ,不動産
1787,ナカボーテック,資本財
178A,グローバルＸ　革新的優良企業　ＥＴＦ,N/A
1788,三東工業社,資本財
1793,大本組,資本財
1795,マサル,資本財
1798,守谷商会,資本財
179A,グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）,N/A
1799,第一建設工業,資本財
1801,大成建設,資本財
1803,清水建設,資本財
1802,大林組,資本財
1807,佐藤渡辺,資本財
1808,長谷工コーポレーション,一般消費財
180A,グローバルＸ　超長期米国債　ＥＴＦ,N/A
1810,松井建設,資本財
1811,錢高組,資本財
1812,鹿島建設,資本財
1814,大末建設,不動産
1813,不動テトラ,資本財
1815,鉄建建設,資本財
181A,ＭＡＸＩＳ米国国債１－３年上場投信（為替ヘッジなし）,N/A
1820,西松建設,資本財
1822,大豊建設,資本財
1826,佐田建設,資本財
1827,ナカノフドー建設,資本財
1828,田辺工業,資本財
1833,奥村組,資本財
182A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,N/A
1835,東鉄工業,資本財
183A,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,N/A
1840,土屋ホールディングス,一般消費財
1847,イチケン,不動産
1841,サンユー建設,資本財
1844,大盛工業,資本財
1848,富士ピー・エス,資本財
184A,学びエイド,N/A
1850,南海辰村建設,資本財
1852,淺沼組,資本財
185A,リサイクルテック・ジャパン,N/A
1853,森組,資本財
1860,戸田建設,資本財
1861,熊谷組,資本財
1866,北野建設,資本財
186A,アストロスケールホールディングス,資本財
1867,植木組,資本財
1870,矢作建設工業,資本財
1871,ピーエス・コンストラクション,資本財
1873,日本ハウスホールディングス,一般消費財
1878,大東建託,不動産
1879,新日本建設,資本財
1885,東亜建設工業,資本財
1882,東亜道路工業,資本財
1887,日本国土開発,資本財
1888,若築建設,資本財
188A,グローバルＸ　インド・トップ１０＋　ＥＴＦ,N/A
1897,金下建設,資本財
1893,五洋建設,資本財
1898,世紀東急工業,資本財
189A,Ｄ＆Ｍカンパニー,ヘルスケア
1899,福田組,資本財
1904,大成温調,資本財
1905,テノックス,資本財
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,ヘルスケア
1909,日本ドライケミカル,資本財
1911,住友林業,一般消費財
1921,巴コーポレーション,資本財
1914,日本基礎技術,資本財
191A,ミモザ,ヘルスケア
1925,大和ハウス工業,不動産
1928,積水ハウス,一般消費財
1929,日特建設,資本財
1926,ライト工業,資本財
192A,インテグループ,金融
1930,北陸電気工事,資本財
1934,ユアテック,資本財
1938,日本リーテック,資本財
1939,四電工,資本財
1944,きんでん,資本財
1941,中電工,資本財
1942,関電工,資本財
1945,東京エネシス,資本財
1949,住友電設,資本財
1946,トーエネック,資本財
194A,ＷＯＬＶＥＳ　ＨＡＮＤ,ヘルスケア
1948,弘電社,資本財
1952,新日本空調,資本財
1951,エクシオグループ,資本財
1950,日本電設工業,資本財
1959,クラフティア,資本財
195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,情報技術
1960,サンテック,資本財
1961,三機工業,資本財
1964,中外炉工業,資本財
1965,テクノ菱和,資本財
1963,日揮ホールディングス,資本財
1966,高田工業所,資本財
1968,太平電業,資本財
1967,ヤマト,資本財
196A,ＭＦＳ,金融
1969,高砂熱学工業,資本財
1975,朝日工業社,資本財
1979,大氣社,資本財
1976,明星工業,資本財
1972,三晃金属工業,資本財
197A,タウンズ,ヘルスケア
1981,協和日成,資本財
1980,ダイダン,資本財
198A,ＰｏｓｔＰｒｉｍｅ,情報技術
1982,日比谷総合設備,資本財
1994,高橋カーテンウォール工業,資本財
1992,神田通信機,情報技術
199A,メディエア,N/A
1997,暁飯島工業,資本財
2001,ニップン,生活必需品
2003,日東富士製粉,生活必需品
2002,日清製粉グループ本社,生活必需品
2004,昭和産業,生活必需品
